Index,Address,Room Count,Size,Price,Accessibility
226,"Tartu, Tartu linn, Ülejõe, Ujula põik 6-1",1,31.9 m²,144 500 €,-
227,"Tartu, Tartu linn, Karlova, Raua 15B-8",3,94.5 m²,255 000 €,-
228,"Tartu, Tartu linn, Annelinn, Jaama 179",2,45.7 m²,85 000 €,Baastase
229,"Tartu, Tartu linn, Tähtvere, C. R. Jakobsoni tn 18",2,46.3 m²,126 000 €,Baastase
230,"Tartu, Tartu linn, Kesklinn, Lai tn 29",2,32 m²,135 000 €,Hea tase
231,"Tartu, Tartu linn, Karlova, Tähe tn 87  UUS HIND!",3,62.8 m²,172 000 €,Baastase
232,"Tartu, Tartu linn, Veeriku, Näituse tn 36-15",6,112.9 m²,50 000 €,Baastase
233,"Tartu, Tartu linn, Karlova, Kuu 19",2,53.9 m²,69 000 €,Baastase
234,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 14-2",2,45.2 m²,130 990 €,-
235,"Tartu, Tartu linn, Karlova, Siili tn 10-25",2,46.8 m²,160 000 €,-
236,"Tartu, Tartu linn, Ülejõe, Jaama tn 65",3,77.9 m²,148 000 €,Baastase
237,"Tartu, Tartu linn, Annelinn, Kaunase pst 39",4,76.4 m²,99 500 €,Baastase
238,"Tartu, Tartu linn, Annelinn, Mõisavahe tn 20",2,45.6 m²,84 000 €,Baastase
239,"Tartu, Tartu linn, Kesklinn, Raekoja plats 11",2,53.9 m²,235 000 €,Hea tase
240,"Tartu, Tartu linn, Raadi-Kruusamäe, Raadiraja tn 12-21",4,84.1 m²,239 900 €,-
241,"Tartu, Annelinn, Salu tee",2,43.7 m²,105 000 €,-
242,"Tartu, Tartu linn, Ränilinn, Kvartsi tn 8",3,67.8 m²,194 000 €,-
243,"Tartu, Tartu linn, Karlova, Tolstoi 22-3",1,29.9 m²,79 000 €,Baastase
244,"Tartu, Tartu linn, Kesklinn, Jakobi 19",3,59.3 m²,174 000 €,Hea tase
245,"Tartu, Tartu linn, Kesklinn, Aleksandri tn 32/1-16",3,63.4 m²,250 000 €,Hea tase
246,"Tartu, Kesklinn, Võru 20",2,52.1 m²,149 000 €,Hea tase
247,"Tartu, Tartu linn, Ropka, Aardla 5",3,66.1 m²,120 000 €,Baastase
248,"Tartu, Tartu linn, Kesklinn, Võru tn 65a-7",4,68.9 m²,238 000 €,Baastase
249,"Tartu, Ülejõe, Pikk 78",3,57.7 m²,103 500 €,Hea tase
250,"Tartu, Tartu linn, Ülejõe, Uus tn 36",3,48 m²,129 000 €,Baastase
251,"Tartu, Tartu linn, Raadi-Kruusamäe, Vahi tn 64-7",2,50.2 m²,151 900 €,-
252,"Tartu, Tartu linn, Kesklinn, Lossi tn 21",3,110 m²,399 000 €,Hea tase
253,"Tartu, Tartu linn, Ränilinn, Aardla tn 124",2,43.1 m²,124 500 €,-
254,"Tartu, Ülejõe, Aruküla tee 2",2,44.9 m²,169 000 €,-
255,"Tartu, Tartu linn, Karlova, Võru tn 65a-7",4,68.9 m²,238 000 €,Baastase
256,"Tartu, Tartu linn, Pärna tn 23 // 25",1,29 m²,86 000 €,Baastase
257,"Tartu, Kesklinn, Fortuuna 27-17",4,129 m²,699 000 €,Hea tase
258,"Tartu, Annelinn, Nõlvaku 9",4,78.5 m²,125 000 €,Baastase
259,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 1 (Broneeritud)",2,46.8 m²,83 900 €,Baastase
260,"Tartu, Kesklinn, Vallikraavi tn 11",4,86.3 m²,230 000 €,Hea tase
261,"Tartu, Tartu linn, Kesklinn, Lao 2",2,45 m²,89 000 €,Hea tase
262,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 14-3",3,52.9 m²,151 990 €,-
263,"Tartu, Tartu linn, Annelinn, Kaunase pst 17",4,75.9 m²,118 000 €,Baastase
264,"Tartu, Kesklinn, Kummeli tn 10b",3,62.9 m²,174 000 €,-
265,"Tartu, Tartu linn, Ülejõe, Ujula põik 1-6",2,50.8 m²,232 000 €,-
266,"Tartu, Tartu linn, Variku, Rehetare tee 11-3",4,164.9 m²,285 000 €,-
267,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 14-10 (Broneeritud)",1,37.7 m²,119 990 €,-
268,"Tartu, Tartu linn, Annelinn, Mõisavahe 71/1b",3,63.9 m²,178 900 €,Baastase
269,"Tartu, Karlova, Võru 38",1,23.6 m²,67 000 €,Hea tase
270,"Tartu, Tartu linn, Karlova, Ees-Karlova, Tolstoi 12 (Broneeritud)",3,97.2 m²,220 000 €,Baastase
271,"Tartu, Tartu linn, Ränilinn, Teemandi tn 3",2,49.9 m²,89 000 €,-
272,"Tartu, Annelinn, Kaunase pst 28",4,76.6 m²,125 000 €,Baastase
273,"Tartu, Tartu linn, Kesklinn, Aleksandri tn 23  UUS HIND!",1,38.3 m²,80 900 €,Hea tase
274,"Tartu, Tartu linn, Annelinn, Kalda tee 42",3,65.2 m²,99 000 €,Baastase
275,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 14-30",2,38.1 m²,124 990 €,-
276,"Tartu, Tartu linn, Supilinn, Tähtvere tn 3b-M11",0,52.4 m²,17 850 €,Hea tase
277,"Tartu, Ropka, Aardla 17",2,27.8 m²,59 000 €,Baastase
278,"Tartu, Tartu linn, Kesklinn, Riia kvartal, Riia 22-46",3,85.7 m²,330 000 €,Hea tase
279,"Tartu, Tartu linn, Karlova, Rebase 17-13",2,44 m²,144 400 €,-
280,"Tartu, Kesklinn, Vallikraavi tn 14",1,21.6 m²,129 000 €,Hea tase
281,"Tartu, Tartu linn, Karlova, Siili tn 10-23 (Broneeritud)",3,92.7 m²,228 000 €,-
282,"Tartu, Tartu linn, Kesklinn, Raekoja plats 4-9",3,51.6 m²,259 990 €,Hea tase
283,"Tartu, Tartu linn, Ülejõe, Ujula põik 1-3",2,40.1 m²,178 000 €,-
284,"Tartu, Tartu linn, Kesklinn, Kroonuaia 13",1,15.9 m²,51 000 €,Hea tase
285,"Tartu, Tartu linn, Karlova, Teguri tn 32/1-24",1,24.4 m²,133 000 €,Baastase
286,"Tartu, Tartu linn, Karlova, Piiskopi tn 15",3,71.1 m²,149 000 €,-
287,"Tartu, Tartu linn, Karlova, Rebase 17-14",2,44 m²,144 400 €,-
288,"Tartu, Tartu linn, Karlova, Siili tn 10-5",3,92.5 m²,219 000 €,-
289,"Tartu, Tartu linn, Raadi-Kruusamäe, Stardiraja tn 3-3",4,83.6 m²,211 900 €,-
290,"Tartu, Tartu linn, Raadi-Kruusamäe, Kukerpuu tn 1-17",3,68.3 m²,178 000 €,-
291,"Tartu, Tartu linn, Supilinn, Meloni 33-8",3,62.3 m²,331 000 €,-
292,"Tartu, Tartu linn, Jaamamõisa, Lääne 3",1,26.8 m²,59 000 €,Baastase
293,"Tartu, Tartu linn, Kesklinn, Vanalinn, Lai tn 29-11",2,20 m²,119 980 €,Hea tase
294,"Tartu, Tartu linn, Karlova, Rebase 17-3",2,44 m²,142 300 €,-
295,"Tartu, Kesklinn, Tähtvere tn 18c",3,63 m²,135 000 €,Baastase
296,"Tartu, Ropka, Aardla tn 7a",2,43.9 m²,125 000 €,Baastase
297,"Tartu, Tartu linn, Karlova, Siili tn 12-29",3,91.9 m²,247 000 €,-
298,"Tartu, Ülejõe, Pärna 21a",3,60.8 m²,153 000 €,Baastase
299,"Tartu, Ropka, Kaasiku 1a",2,69.9 m²,145 000 €,-
300,"Tartu, Tartu linn, Kesklinn, Aleksandri 40",1,20 m²,56 000 €,Baastase
301,"Tartu, Tartu linn, Karlova, Siili tn 10-6",3,77.1 m²,211 000 €,-
302,"Tartu, Tartu linn, Kesklinn, Riia kvartal, Riia 22-12",3,64.2 m²,231 000 €,Hea tase
303,"Tartu, Tartu linn, Supilinn, Selleri 8",3,68.9 m²,269 000 €,Baastase
304,"Tartu, Tartu linn, Vaksali, Vabriku tn 4",2,59.5 m²,49 900 €,Baastase
305,"Tartu, Tartu linn, Karlova, Siili tn 12-24",3,78 m²,225 000 €,-
306,"Tartu, Tartu linn, Ränilinn, Aardla tn 136",3,63.1 m²,129 000 €,-
307,"Tartu, Tartu linn, Ropka, Paruni tn 17-8",4,90.6 m²,182 900 €,-
308,"Tartu, Tartu linn, Supilinn, Meloni 33-5",2,40 m²,223 000 €,-
309,"Tartu, Tartu linn, Karlova, Siili tn 12-30",4,95 m²,273 000 €,-
310,"Tartu, Tartu linn, Ülejõe, Aruküla tee 24",3,67.3 m²,159 000 €,-
311,"Tartu, Tartu linn, Raadi-Kruusamäe, Stardiraja tn 3-8",3,59.8 m²,166 900 €,-
312,"Tartu, Tartu linn, Raadi-Kruusamäe, Stardiraja tn 3-20",3,64.9 m²,181 900 €,-
313,"Tartu, Tartu linn, Supilinn, Tähtvere tn 17 (Broneeritud)",2,47.6 m²,155 000 €,Baastase
314,"Tartu, Tartu linn, Kesklinn, Tähe",3,65.7 m²,139 000 €,-
315,"Tartu, Tartu linn, Annelinn, Mõisavahe tn 20",2,49.3 m²,77 900 €,Baastase
316,"Tartu, Tartu linn, Karlova, Rebase 17-90",3,78.8 m²,255 000 €,-
317,"Tartu, Tartu linn, Raadi-Kruusamäe, Pärna allee 5",4,94.5 m²,184 000 €,-
318,"Tartu, Tartu linn, Jaamamõisa, Põhja pst 14",2,48.5 m²,64 900 €,Baastase
319,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 11",2,46.8 m²,73 000 €,Baastase
320,"Tartu, Tartu linn, Karlova, Siili 6",2,43.7 m²,170 000 €,-
321,"Tartu, Tartu linn, Karlova, Lootuse tn 25",1,19 m²,53 500 €,Hea tase
322,"Tartu, Tartu linn, Annelinn, Anne 77",4,77.3 m²,135 000 €,Baastase
323,"Tartu, Tartu linn, Annelinn, Anne 89 (Broneeritud)",4,76.8 m²,89 000 €,Baastase
324,"Tartu, Tartu linn, Kesklinn, Fortuuna 1-29",2,68 m²,210 000 €,Hea tase
325,"Tartu, Tartu linn, Kesklinn, J. Kuperjanovi tn 5a",2,54 m²,179 000 €,Hea tase
326,"Tartu, Tartu linn, Karlova, Kalevi tn 84",1,23 m²,44 900 €,Baastase
327,"Tartu, Annelinn, Jaama 167-14",2,45.3 m²,168 000 €,Baastase
328,"Tartu, Tartu linn, Kesklinn, Riia kvartal, Riia 22-20",3,64 m²,234 000 €,Hea tase
329,"Tartu, Tartu linn, Pärna tn 23 // 25",2,25 m²,74 000 €,Baastase
330,"Tartu, Tartu linn, Karlova, Võru tn 65a-11",2,100.8 m²,239 000 €,Baastase
331,"Tartu, Tartu linn, Tammelinn, Tammepärja 17-2",4,107 m²,340 000 €,-
332,"Tartu, Kesklinn, Vallikraavi 24",3,79.1 m²,169 900 €,Hea tase
333,"Tartu, Annelinn, Jaama 167-57",2,44.6 m²,145 000 €,Baastase
334,"Tartu, Kesklinn, Kastani tn 32",2,66.7 m²,159 900 €,Hea tase
335,"Tartu, Tartu linn, Karlova, Siili tn 10-31",2,47.1 m²,162 000 €,-
336,"Tartu, Tartu linn, Kesklinn, Riia kvartal, Riia 22-11",3,76 m²,273 000 €,Hea tase
337,"Tartu, Tartu linn, Annelinn, Kaunase pst 7",3,62.7 m²,109 000 €,Baastase
338,"Tartu, Kesklinn, Aleksandri tn 1",1,28.1 m²,99 000 €,Hea tase
339,"Tartu, Tartu linn, Ropka, Paruni tn 17-12",3,80.4 m²,164 900 €,-
340,"Tartu, Tartu linn, Tähtvere, Friedrich Reinhold Kreutzwaldi 50",1,30 m²,119 000 €,-
341,"Tartu, Tartu linn, Annelinn, Kaunase pst. 18",2,46 m²,71 000 €,-
342,"Tartu, Ropka, Rahu 12",3,48 m²,136 500 €,Baastase
343,"Tartu, Tartu linn, Annelinn, Pikk tn 100",1,33.9 m²,85 000 €,Hea tase
344,"Tartu, Tartu linn, Jaamamõisa, Ida tn 4c",2,47.6 m²,129 500 €,Baastase
345,"Tartu, Tartu linn, Supilinn, Piiri tn 12",1,15.1 m²,38 000 €,Baastase
346,"Tartu, Tartu linn, Raadi-Kruusamäe, Erminurme tee 14-12",2,57 m²,174 900 €,-
347,"Tartu, Ränilinn, Rehetare tee 2 (Broneeritud)",5,132 m²,255 000 €,-
348,"Tartu, Tartu linn, Ülejõe, Klaose tn 5",3,62.8 m²,179 900 €,-
349,"Tartu, Tartu linn, Ränilinn, Aardla 140",4,76.7 m²,149 000 €,-
350,"Tartu, Tartu linn, Kesklinn, Turu tn 17",2,42.8 m²,139 500 €,Hea tase
351,"Tartu, Tartu linn, Raadi-Kruusamäe, Erminurme tee 18-12",2,57 m²,206 900 €,-
352,"Tartu, Tartu linn, Annelinn, UUS HIND!, Jaama tn 167",2,45.3 m²,141 900 €,Baastase
353,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 3",1,26.8 m²,57 000 €,Baastase
354,"Tartu, Kesklinn, Tiigi tn 10",2,39.8 m²,115 000 €,Hea tase
355,"Tartu, Tartu linn, Kesklinn, Väike-Turu 5",3,143.3 m²,694 000 €,Hea tase
356,"Tartu, Tartu linn, Annelinn, Kaunase pst 62",2,46.1 m²,86 000 €,Baastase
357,"Tartu, Tartu linn, Karlova, Lootuse 27",2,42.4 m²,107 000 €,Hea tase
358,"Tartu, Tartu linn, Ränilinn, Eerika põik 10-3",4,100.3 m²,249 900 €,-
359,"Tartu, Tartu linn, Raadi-Kruusamäe, Kaupmehe tn 12-14",3,63.3 m²,171 900 €,-
360,"Tartu, Tartu linn, Supilinn, Meloni 33-4",2,44.4 m²,244 000 €,-
361,"Tartu, Tartu linn, Kesklinn, Aleksandri 27",2,48.7 m²,135 000 €,Hea tase
362,"Tartu, Tartu linn, Karlova, Võru 49",1,16.2 m²,53 900 €,Hea tase
363,"Tartu, Tartu linn, Kesklinn, Kroonuaia 13",2,42.5 m²,119 900 €,Hea tase
364,"Tartu, Tartu linn, Annelinn, Kaunase pst 36",2,49.1 m²,84 900 €,Baastase
365,"Tartu, Tartu linn, Raadi-Kruusamäe, Vao 1",2,59.5 m²,149 000 €,-
366,"Tartu, Tartu linn, Karlova, Siili tn 10-4",2,55.6 m²,165 000 €,-
367,"Tartu, Tartu linn, Ropka, Jalaka tn 46",4,70.8 m²,113 900 €,Baastase
368,"Tartu, Tartu linn, Mõisavahe tn 15",4,75.6 m²,124 000 €,Baastase
369,"Tartu, Tartu linn, Pärna tn 23 // 25",1,27 m²,80 000 €,Baastase
370,"Tartu, Tartu linn, Ülejõe, Pärna 28b",3,70.9 m²,260 000 €,Baastase
371,"Tartu, Annelinn, Jaama 167-37",4,84.3 m²,207 000 €,Baastase
372,"Tartu, Annelinn, Anne 87",2,46.4 m²,79 900 €,Baastase
373,"Tartu, Tartu linn, Karlova, Rebase 17-85",3,73.6 m²,227 000 €,-
374,"Tartu, Annelinn, Jaama 167-54",3,68.3 m²,175 000 €,Baastase
375,"Tartu, Tartu linn, Kesklinn, Staadioni 65a",2,61.4 m²,249 000 €,-
376,"Tartu, Tartu linn, Karlova, Siili tn 12-16",2,54.7 m²,180 000 €,-
377,"Tartu, Tartu linn, Variku, Korter uues majas, Rehetare tee 1-1",3,68.4 m²,175 000 €,-
378,"Tartu, Tartu linn, Karlova, Siili tn 10-2",3,76.2 m²,235 000 €,-
379,"Tartu, Tartu linn, Ülejõe, Ujula tn 51/1-8",4,80.5 m²,355 000 €,-
380,"Tartu, Annelinn, Jaama 167-36",3,68.3 m²,169 000 €,Baastase
381,"Tartu, Tartu linn, Supilinn, Meloni 33-2",2,41.6 m²,223 000 €,-
382,"Tartu, Tartu linn, Karlova, Linda tn 10",3,66.4 m²,149 000 €,Baastase
383,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 14-11",2,45.2 m²,132 990 €,-
384,"Tartu, Tartu linn, Annelinn, Kaunase pst 24",1,34.4 m²,65 000 €,Baastase
385,"Tartu, Kesklinn, J. Kuperjanovi tn 38a",5,123 m²,259 000 €,Hea tase
386,"Tartu, Annelinn, Jaama 167-45",3,68.3 m²,172 000 €,Baastase
387,"Tartu, Tartu linn, Annelinn, Mõisavahe tn 47",4,78.5 m²,125 000 €,Baastase
388,"Tartu, Tartu linn, Raadi-Kruusamäe, Põllu 6",3,58.2 m²,110 000 €,-
389,"Tartu, Tartu linn, Raadi-Kruusamäe, Piloodi 1-4",3,59.8 m²,175 900 €,-
390,"Tartu, Tartu linn, Vaksali, Vabriku 3",2,37 m²,115 000 €,Baastase
391,"Tartu, Tartu linn, Annelinn, Jaama 175",3,65.1 m²,104 000 €,Baastase
392,"Tartu, Tartu linn, Supilinn, Tähtvere tn 27",2,62.1 m²,122 900 €,Baastase
393,"Tartu, Tartu linn, Raadi-Kruusamäe, Piloodi 1-13",3,59.9 m²,166 900 €,-
394,"Tartu, Tartu linn, Kesklinn, J. Kuperjanovi tn 20",2,40.4 m²,101 000 €,Hea tase
395,"Tartu, Tartu linn, Tähtvere, Friedrich Reinhold Kreutzwaldi 50",1,35 m²,129 000 €,-
396,"Tartu, Tartu linn, Raadi-Kruusamäe, Vahi tn 64-2",2,50.2 m²,150 900 €,-
397,"Tartu, Tartu linn, Kesklinn, A. H. Tammsaare tn 2-16",3,68.8 m²,199 000 €,-
398,"Tartu, Tartu linn, Kesklinn, Vallikraavi 10",3,60.6 m²,194 000 €,Hea tase
399,"Tartu, Tartu linn, Kesklinn, Kroonuaia 20",4,295 m²,179 000 €,Hea tase
400,"Tartu, Tartu linn, Raadi-Kruusamäe, Piloodi 1-5",2,44.9 m²,144 900 €,-
401,"Tartu, Tartu linn, Kesklinn, Tiigi 17",2,39.9 m²,119 700 €,Hea tase
402,"Tartu, Tartu linn, Jaamamõisa, Jaamamõisa tn 8-1",2,32.5 m²,61 900 €,Baastase
403,"Tartu, Tartu linn, Ülejõe, Staadioni tn 14",2,40.5 m²,103 000 €,Baastase
404,"Tartu, Tartu linn, Annelinn, Mõisavahe tn 42",2,46.2 m²,80 000 €,Baastase
405,"Tartu, Tartu linn, Annelinn, Mõisavahe 71/2",2,50.9 m²,179 870 €,Baastase
406,"Tartu, Tartu linn, Raadi-Kruusamäe, Vahi tn 64-1",3,63 m²,179 900 €,-
407,"Tartu, Tartu linn, Annelinn, Kaunase pst 65",1,33.6 m²,62 900 €,Baastase
408,"Tartu, Tartu linn, Raadi-Kruusamäe, Pärna allee 8",2,67.2 m²,139 900 €,-
409,"Tartu, Tartu linn, Ülejõe, Ujula tn 51/1-5",3,62.1 m²,265 000 €,-
410,"Tartu, Tartu linn, Raadi-Kruusamäe, Stardiraja tn 3-15",2,43.4 m²,135 900 €,-
411,"Tartu, Tartu linn, Annelinn, Kaunase pst 3",3,66.6 m²,145 000 €,Baastase
412,"Tartu, Tartu linn, Annelinn, Kaunase pst. 12",3,63.1 m²,103 000 €,-
413,"Tartu, Tartu linn, Annelinn, Kaunase pst 62",2,46.1 m²,85 900 €,Baastase
414,"Tartu, Annelinn, Jaama 167-27",3,68.3 m²,175 000 €,Baastase
415,"Tartu, Tartu linn, Tammelinn, Riia 48",2,38.8 m²,109 000 €,-
416,"Tartu, Tartu linn, Kesklinn, Anne 1",2,46.9 m²,123 900 €,Baastase
417,"Tartu, Tartu linn, Annelinn, Anne tn 77",2,49.5 m²,77 000 €,Baastase
418,"Tartu, Tartu linn, Ülejõe, HEA ASUKOHT KESKLINNA PIIRIL, Pikk 86",3,62.9 m²,118 000 €,Hea tase
419,"Tartu, Tartu linn, Annelinn, Jaama tn 191",3,65.3 m²,85 000 €,Baastase
420,"Tartu, Tartu linn, Variku, Rehetare tee 1",1,39 m²,97 000 €,-
421,"Tartu, Kesklinn, Lai 36b-2",2,49.3 m²,199 000 €,Hea tase
422,"Tartu, Tartu linn, Raadi-Kruusamäe, Piloodi 1-6",2,44.3 m²,144 900 €,-
423,"Tartu, Tartu linn, Variku, Rehetare tee 11-1",4,164.9 m²,295 000 €,-
424,"Tartu, Annelinn, Mõisavahe 37",4,78.2 m²,120 000 €,Baastase
425,"Tartu, Tartu linn, Kesklinn, Karlova, Öö tn 2",3,145.7 m²,500 000 €,Hea tase
426,"Tartu, Tartu linn, Raadi-Kruusamäe, Erminurme tee 18-6",2,57 m²,171 900 €,-
427,"Tartu, Tartu linn, Vaksali, Kooli tn 34//36",3,64.7 m²,160 000 €,Baastase
428,"Tartu, Tartu linn, Annelinn, Luunja, Tamme tee 7",4,120 m²,233 900 €,-
429,"Tartu, Tartu linn, Raadi-Kruusamäe, Raadiraja tn 12-15",2,45.9 m²,148 900 €,-
430,"Tartu, Tartu linn, Raadi-Kruusamäe, Hauskari tn 6",3,72.4 m²,189 500 €,-
431,"Tartu, Tartu linn, Kastani tn 157 // 159",2,33.9 m²,75 000 €,Baastase
432,"Tartu, Tartu linn, Jaamamõisa, Põhja pst 14",2,47.8 m²,78 500 €,Baastase
433,"Tartu, Tartu linn, Ülejõe, Ujula tn 51/1-9",3,61.9 m²,275 000 €,-
434,"Tartu, Tartu linn, Kesklinn, Aleksandri tn 5 (Broneeritud)",2,39.1 m²,99 000 €,Hea tase
435,"Tartu, Tartu linn, Karlova, Koidu tn 20 // 22",1,30.9 m²,69 500 €,Baastase
436,"Tartu, Tartu linn, Karlova, Võru tn 54-2",3,46.7 m²,153 900 €,Hea tase
437,"Tartu, Tartu linn, Kesklinn, Fortuuna tn 27-18",4,131.4 m²,699 000 €,Hea tase
438,"Tartu, Tartu linn, Raadi-Kruusamäe, Stardiraja tn 3-20",3,64.9 m²,181 900 €,-
439,"Tartu, Tartu linn, Tammelinn, L. Puusepa tn 29",2,35.9 m²,89 000 €,Baastase
440,"Tartu, Tartu linn, Raadi-Kruusamäe, Kaupmehe tn 12-19",3,65.2 m²,177 900 €,-
441,"Tartu, Tartu linn, Annelinn, Kaunase pst 11-29 (Broneeritud)",2,47 m²,87 000 €,Baastase
442,"Tartu, Tartu linn, Raadi-Kruusamäe, Piloodi 1-1",2,42.4 m²,142 900 €,-
443,"Tartu, Tartu linn, Annelinn, Mõisavahe 26",3,65.6 m²,89 000 €,Baastase
444,"Tartu, Annelinn, Anne 92",4,78 m²,118 000 €,Baastase
445,"Tartu, Tartu linn, Jaamamõisa, Põhja pst 17",1,31.4 m²,54 900 €,Baastase
446,"Tartu, Tartu linn, Ropka, Võru 156a",2,35 m²,95 000 €,Baastase
447,"Tartu, Tartu linn, Kesklinn, Riia tn 5",2,71.1 m²,169 000 €,Hea tase
448,"Tartu, Tartu linn, Ülejõe, Ülejõe, Ujula tn 51/1-6",2,39.3 m²,185 000 €,-
449,"Tartu, Tartu linn, Ülejõe, Ujula tn 51/2-1",5,113.9 m²,449 000 €,-
450,"Tartu, Tartu linn, Annelinn, Ihaste põik 30",2,47.9 m²,170 000 €,-
451,"Tartu, Tartu linn, Karlova, Rebase 17-4",2,44.2 m²,142 300 €,-
452,"Tartu, Tartu linn, Karlova, Siili tn 12-3",2,65.9 m²,205 000 €,-
453,"Tartu, Tartu linn, Raadi-Kruusamäe, Piloodi 1-9",2,43.9 m²,142 900 €,-
